1990StarB...5...16S 1990StaUN..70.....W
1990StarB...5...17W 1986StaGP..35.....W
1990StarB...5...18B 1997StaUN..66.....B
1990StarB...5...18B 2009StaGP..38.....C
1990StarB...5...21W 1989StarB...4....7W
1990StarB...5...22J 2004StaUN..50.....H
1990StarB...5...22J 1989QJRAS..30..195J
1990StarB...5...22J 1985QJRAS..26..521L
1990StarB...5...24B 1990MNRAS.247..311B
1990StarB...5...24B 1984VA.....27..433M
1990StarB...5...24B 1988StaUN..24.....L
1990StarB...5...24B 1996StaUN..42.....E
1990StarB...5G...4W 1989StarB...4....2T
1990StarB...5G...8P 1989StarB...4....2T
1990StarB...5G..10W 1990StarB...5G...2A
1990StarB...5G..10W 1990StarB...5G...2S
1990StarB...5G..10W 1990StarB...5G...4W
1990StarB...5G..10W 1990StarB...5G...5D
1990StarB...5G..10W 1990StarB...5G...7F
1990StarB...5G..10W 1990StarB...5G...8P
1990StarB...6Q...2M 1990StarB...6....4M
1990StarB...6Q...2M 1988StarB...1.....M
1990StarB...6Q...2M 1988StarB...2.....M
1990StarB...6Q...2M 1989StarB...3.....M
1990StarB...6Q...2M 1989StarB...4.....M
1990StarB...6Q...2M 1990StarB...5.....M
1990StarB...6Q...2M 1990StarB...5G...2A
1990StarB...6Q...2M 1990StarB...5G...2S
1990StarB...6Q...2M 1990StarB...5G...4W
1990StarB...6Q...2M 1990StarB...5G...5D
1990StarB...6Q...2M 1990StarB...5G...6B
1990StarB...6Q...2M 1990StarB...5G...7F
1990StarB...6Q...2M 1990StarB...5G...8P
1990StarB...6Q...2M 1990StarB...5G..10W
1990StarB...6....3W 1990StarB...5...27T
1990StarB...6....3W 1991StaUN.105.....W
1990StarB...6....3W 1992StaGP..16.....W
1990StarB...6....3W 2006StaUN...7.....B
1990StarB...6....4M 1990adam.proc.....C
1990StarB...6....5R 2009StaUN.104.....R
1990StarB...6....6C 1995StaUN..57.....T
1990StarB...6....6C 1990StarB...6....5R
1990StarB...6....7L 1990StaUN.103.....D
1990StarB...6....7L 1992StaUN..13.....A
1990StarB...6....7L 1993StaUN..26.....C
1990StarB...6....7L 2009StaUN.104.....R
1990StarB...6....7L 1990StaUN..73.....L
1990StarB...6....7L 1990StaUN..54.....L
1990StarB...6....7L 1998StaUN.107.....C
1990StarB...6....7L 1989StaUN..49.....L
1990StarB...6....7L 1991StaUN.105.....W
1990StarB...6....7L 1990StarB...6....3W
1990StarB...6....7L 1990StaUN..70.....W
1990StarB...6....7L 1992StarG...4.....L
1990StarB...6....7L 2003StaUN...1.....R
1990StarB...6....7L 2012StaUN..11.....W
1990StarB...6....7L 2012StaUN..33.....W
1990StarB...6....7L 1996StaUN..53.....F
1990StarB...6....7L 2005StaUN..67.....W
1990StarB...6....7L 1993StaUN..82.....P
1990StarB...6....7L 1990StarB...6...25L
1990StarB...6....7W 1992StaGP..16.....W
1990StarB...6....7W 1992StaUN..63.....R
1990StarB...6....7W 1989StarB...3....6R
1990StarB...6....7W 1990StaUN..73.....L
1990StarB...6....9R 1988EIUEN..29....9L
1990StarB...6....9M 1988StaUN..44.....C
1990StarB...6....9M 1989StarB...4...24E
1990StarB...6...13L 1989StarB...3....1M
1990StarB...6...13L 1980ESIB....1.....S
1990StarB...6...14L 1992StaGP..16.....W
1990StarB...6...14W 1990StarB...6...14L
1990StarB...6...14W 1990StaGP...2.....W
1990StarB...6...16E 1990StarB...5...24B
1990StarB...6...16E 2002StaUN.109.....D
